    ,rider                        ,team                                    ,points2023
128 ,Mikkel  Bjerg                ,UAE Team Emirates                       ,     701.3
129 ,Marc  Soler                  ,UAE Team Emirates                       ,     701
130 ,Andrea  Vendrame             ,AG2R Citroën Team                       ,     697
131 ,Fabio  Jakobsen              ,Soudal Quick-Step                       ,     688
132 ,Arvid de Kleijn              ,Tudor Pro Cycling Team                  ,     680
133 ,Alexander  Kamp              ,Tudor Pro Cycling Team                  ,     679
134 ,Jack  Haig                   ,Bahrain - Victorious                    ,     674.7
135 ,Magnus  Cort                 ,EF Education - EasyPost                 ,     671.7
136 ,Pascal  Ackermann            ,UAE Team Emirates                       ,     670
137 ,Andreas  Leknessund          ,Team dsm - firmenich                    ,     668.1
138 ,Cristián  Rodríguez          ,Team Arkéa Samsic                       ,     667
139 ,Max  Poole                   ,Team dsm - firmenich                    ,     664.5
140 ,Patrick  Konrad              ,BORA - hansgrohe                        ,     657
141 ,Thymen  Arensman             ,INEOS Grenadiers                        ,     645
142 ,Dries Van Gestel             ,TotalEnergies                           ,     642
143 ,Jambaljamts  Sainbayar       ,Terengganu Polygon Cycling Team         ,     640
144 ,Aurélien  Paret-Peintre      ,AG2R Citroën Team                       ,     637
145 ,Phil  Bauhaus                ,Bahrain - Victorious                    ,     632.1
146 ,Jhonatan  Narváez            ,INEOS Grenadiers                        ,     631.3
147 ,Ethan  Vernon                ,Soudal Quick-Step                       ,     631
148 ,Simon  Clarke                ,Israel - Premier Tech                   ,     628
149 ,Kévin  Vauquelin             ,Team Arkéa Samsic                       ,     628
150 ,Nico  Denz                   ,BORA - hansgrohe                        ,     625.1
151 ,Fernando  Gaviria            ,Movistar Team                           ,     617
152 ,John  Degenkolb              ,Team dsm - firmenich                    ,     616
153 ,Miguel Ángel  López          ,Team Medellín - EPM                     ,     612
154 ,Hugo  Page                   ,Intermarché - Circus - Wanty            ,     611.9
155 ,Nils  Politt                 ,BORA - hansgrohe                        ,     611.1
156 ,Ethan  Hayter                ,INEOS Grenadiers                        ,     610
157 ,Sergio  Higuita              ,BORA - hansgrohe                        ,     607.1
158 ,Max  Walscheid               ,Cofidis                                 ,     592
159 ,Mattia  Cattaneo             ,Soudal Quick-Step                       ,     591
160 ,Alberto  Bettiol             ,EF Education - EasyPost                 ,     590.7
161 ,Laurence  Pithie             ,Groupama - FDJ                          ,     587
162 ,Dylan  Teuns                 ,Israel - Premier Tech                   ,     581
163 ,Giacomo  Nizzolo             ,Israel - Premier Tech                   ,     575
164 ,Felix  Engelhardt            ,Team Jayco AlUla                        ,     574
165 ,Sep  Vanmarcke               ,                                        ,     574
166 ,Achraf  Ed Doghmy            ,Kawkab AC Marrakech                     ,     570
167 ,Dorian  Godon                ,AG2R Citroën Team                       ,     569
168 ,Rafał  Majka                 ,UAE Team Emirates                       ,     564
169 ,Eric Antonio  Fagúndez       ,Burgos - BH                             ,     562
170 ,Roger  Adrià                 ,Equipo Kern Pharma                      ,     561
171 ,Benoît  Cosnefroy            ,AG2R Citroën Team                       ,     557
172 ,Matteo  Sobrero              ,Team Jayco AlUla                        ,     549.6
173 ,Jefferson Alexander  Cepeda  ,EF Education - EasyPost                 ,     549
174 ,Marius  Mayrhofer            ,Team dsm - firmenich                    ,     546
175 ,Clément  Venturini           ,AG2R Citroën Team                       ,     539
176 ,Michael  Storer              ,Groupama - FDJ                          ,     538.5
177 ,Dylan van Baarle             ,Jumbo-Visma                             ,     538.5
178 ,Wilco  Kelderman             ,Jumbo-Visma                             ,     535.5
179 ,Lewis  Askey                 ,Groupama - FDJ                          ,     518.5
180 ,Timo  Kielich                ,Alpecin-Deceuninck Development Team     ,     517
181 ,Jenthe  Biermans             ,Team Arkéa Samsic                       ,     507
182 ,Clément  Berthet             ,AG2R Citroën Team                       ,     499
183 ,Davide  Ballerini            ,Soudal Quick-Step                       ,     498
184 ,Cees  Bol                    ,Astana Qazaqstan Team                   ,     495.3
185 ,Emanuel  Buchmann            ,BORA - hansgrohe                        ,     491
186 ,Kobe  Goossens               ,Intermarché - Circus - Wanty            ,     482.9
187 ,Antonio  Tiberi              ,Bahrain - Victorious                    ,     481.8
188 ,Ruben  Guerreiro             ,Movistar Team                           ,     480.2
189 ,Ben  Tulett                  ,INEOS Grenadiers                        ,     478.9
190 ,Arne  Marit                  ,Intermarché - Circus - Wanty            ,     478
191 ,Tom Van Asbroeck             ,Israel - Premier Tech                   ,     477
192 ,Kevin  Vermaerke             ,Team dsm - firmenich                    ,     474
193 ,Frederik  Frison             ,Lotto Dstny                             ,     474
194 ,Anthony  Perez               ,Cofidis                                 ,     471
195 ,Nils  Eekhoff                ,Team dsm - firmenich                    ,     471
196 ,Bruno  Armirail              ,Groupama - FDJ                          ,     470.7
197 ,Milan  Vader                 ,Jumbo-Visma                             ,     464
198 ,Matthew  Dinham              ,Team dsm - firmenich                    ,     463
199 ,Eduardo  Sepúlveda           ,Lotto Dstny                             ,     460.2
200 ,Anthony  Turgis              ,TotalEnergies                           ,     460
201 ,Clément  Champoussin         ,Team Arkéa Samsic                       ,     456
202 ,Fred  Wright                 ,Bahrain - Victorious                    ,     455.7
203 ,Ben  Zwiehoff                ,BORA - hansgrohe                        ,     455
204 ,Lorenzo  Fortunato           ,EOLO-Kometa                             ,     453
205 ,Nathan Van Hooydonck         ,Jumbo-Visma                             ,     452.6
206 ,Valentin  Ferron             ,TotalEnergies                           ,     451
207 ,Sandy  Dujardin              ,TotalEnergies                           ,     451
208 ,Christian  Scaroni           ,Astana Qazaqstan Team                   ,     449
209 ,Elia  Viviani                ,INEOS Grenadiers                        ,     443.9
210 ,Brent Van Moer               ,Lotto Dstny                             ,     441
211 ,Itamar  Einhorn              ,Israel - Premier Tech                   ,     436
212 ,George  Jackson              ,Bolton Equities Black Spoke             ,     433
213 ,Óscar  Sevilla               ,Team Medellín - EPM                     ,     431
214 ,Stephen  Williams            ,Israel - Premier Tech                   ,     430
215 ,Yevgeniy  Fedorov            ,Astana Qazaqstan Team                   ,     429.3
216 ,Stefan  Bissegger            ,EF Education - EasyPost                 ,     428.3
217 ,Hugo  Hofstetter             ,Team Arkéa Samsic                       ,     427
218 ,Lionel  Taminiaux            ,Alpecin - Deceuninck                    ,     423
219 ,Luke  Plapp                  ,INEOS Grenadiers                        ,     422.9
220 ,Fredrik  Dversnes            ,Uno-X Pro Cycling Team                  ,     421
221 ,Yacine  Hamza                ,Dubai Police Cycling Team               ,     419
222 ,Nans  Peters                 ,AG2R Citroën Team                       ,     418
223 ,Geoffrey  Soupe              ,TotalEnergies                           ,     412
224 ,Daniel Felipe  Martínez      ,INEOS Grenadiers                        ,     411.3
225 ,Jonathan  Castroviejo        ,INEOS Grenadiers                        ,     411
226 ,Rudy  Molard                 ,Groupama - FDJ                          ,     408.1
227 ,Krists  Neilands             ,Israel - Premier Tech                   ,     408
228 ,Per Strand  Hagenes          ,Jumbo-Visma Development Team            ,     408
229 ,Rory  Townsend               ,Bolton Equities Black Spoke             ,     400
230 ,Simon  Carr                  ,EF Education - EasyPost                 ,     399.6
231 ,Filippo  Fiorelli            ,Green Project - Bardiani CSF - Faizanè  ,     399
232 ,Daniil  Marukhin             ,Vino SKO Team                           ,     396
233 ,Florian  Sénéchal            ,Soudal Quick-Step                       ,     394.7
234 ,Steff  Cras                  ,TotalEnergies                           ,     391
235 ,Damien  Howson               ,Q36.5 Pro Cycling Team                  ,     390
236 ,Sebastian  Berwick           ,Israel - Premier Tech                   ,     389
237 ,Cedric  Beullens             ,Lotto Dstny                             ,     388
238 ,Timothy  Dupont              ,Tarteletto - Isorex                     ,     388
239 ,Pelayo  Sánchez              ,Burgos - BH                             ,     387
240 ,Esteban  Chaves              ,EF Education - EasyPost                 ,     386
241 ,Oscar  Onley                 ,Team dsm - firmenich                    ,     385.5
242 ,Sven Erik  Bystrøm           ,Intermarché - Circus - Wanty            ,     385
243 ,Thibau  Nys                  ,Lidl - Trek                             ,     385
244 ,Pascal  Eenkhoorn            ,Lotto Dstny                             ,     380
245 ,Alex  Kirsch                 ,Lidl - Trek                             ,     379.1
246 ,Pier-André  Côté             ,Human Powered Health                    ,     379
247 ,Rémy  Rochas                 ,Cofidis                                 ,     374.8
248 ,Stan Van Tricht              ,Soudal Quick-Step                       ,     374
249 ,Riley  Sheehan               ,Denver Disruptors                       ,     374
250 ,Adil El Arbaoui              ,AVC Khourigba                           ,     372
251 ,Gianni  Vermeersch           ,Alpecin - Deceuninck                    ,     369
252 ,Axel  Laurance               ,Alpecin-Deceuninck Development Team     ,     368
253 ,Francesco  Busatto           ,Circus - ReUz - Technord                ,     368
254 ,Gonzalo  Serrano             ,Movistar Team                           ,     365
255 ,Tegsh-bayar  Batsaikhan      ,Roojai Online Insurance                 ,     365
256 ,Alec  Segaert                ,Lotto Dstny                             ,     362.6
257 ,Tim van Dijke                ,Jumbo-Visma                             ,     362.3
258 ,Élie  Gesbert                ,Team Arkéa Samsic                       ,     361
259 ,German Nicolás  Tivani       ,Team Corratec - Selle Italia            ,     361
260 ,Pierre  Latour               ,TotalEnergies                           ,     360
261 ,Adam  Ťoupalík               ,Elkov - Kasper                          ,     359
262 ,Rasmus Bøgh  Wallin          ,Restaurant Suri - Carl Ras              ,     359
263 ,Matis  Louvel                ,Team Arkéa Samsic                       ,     358
264 ,Jakub  Otruba                ,ATT Investments                         ,     358
265 ,Amanuel  Ghebreigzabhier     ,Lidl - Trek                             ,     357.1
266 ,Stefano  Oldani              ,Alpecin - Deceuninck                    ,     356
267 ,Rigoberto  Urán              ,EF Education - EasyPost                 ,     353
268 ,Anton  Kuzmin                ,Almaty Astana Motors                    ,     352
269 ,Jason  Tesson                ,TotalEnergies                           ,     350
270 ,Casper  Pedersen             ,Soudal Quick-Step                       ,     349
271 ,Sjoerd  Bax                  ,UAE Team Emirates                       ,     349
272 ,Mark  Donovan                ,Q36.5 Pro Cycling Team                  ,     347
273 ,Luka  Mezgec                 ,Team Jayco AlUla                        ,     346.4
274 ,Chris  Harper                ,Team Jayco AlUla                        ,     346.3
275 ,Alessandro  Fedeli           ,Q36.5 Pro Cycling Team                  ,     345
276 ,Andrea  Pasqualon            ,Bahrain - Victorious                    ,     340
277 ,Tobias Lund  Andresen        ,Team dsm - firmenich                    ,     339.1
278 ,Harold  Tejada               ,Astana Qazaqstan Team                   ,     337.3
279 ,Dmitriy  Bocharov            ,Samarkand Professional Cycling Team     ,     336.7
280 ,Christopher  Rougier-Lagane  ,Team MCB                                ,     334.1
281 ,Louis  Meintjes              ,Intermarché - Circus - Wanty            ,     334
282 ,Natnael  Tesfatsion          ,Lidl - Trek                             ,     333
283 ,Bauke  Mollema               ,Lidl - Trek                             ,     333
284 ,Gino  Mäder                  ,Bahrain - Victorious                    ,     331.7
285 ,Nelson  Oliveira             ,Movistar Team                           ,     325.2
286 ,Enrico  Zanoncello           ,Green Project - Bardiani CSF - Faizanè  ,     325
287 ,Greg Van Avermaet            ,AG2R Citroën Team                       ,     322
288 ,George  Bennett              ,UAE Team Emirates                       ,     318.4
289 ,Egan  Bernal                 ,INEOS Grenadiers                        ,     318
290 ,Alexis  Renard               ,Cofidis                                 ,     318
291 ,Giulio  Pellizzari           ,Green Project - Bardiani CSF - Faizanè  ,     318
292 ,António  Morgado             ,Hagens Berman Axeon                     ,     318
293 ,Torstein  Træen              ,Uno-X Pro Cycling Team                  ,     315
294 ,Tom  Sexton                  ,Bolton Equities Black Spoke             ,     314
295 ,Jarne Van de Paar            ,Lotto Dstny                             ,     313
296 ,Laurens De Plus              ,INEOS Grenadiers                        ,     313
297 ,Laurenz  Rex                 ,Intermarché - Circus - Wanty            ,     311
298 ,Georg  Steinhauser           ,EF Education - EasyPost                 ,     310.6
299 ,Rui  Oliveira                ,UAE Team Emirates                       ,     310.5
300 ,Stanisław  Aniołkowski       ,Human Powered Health                    ,     309
301 ,Yuma  Koishi                 ,JCL Team UKYO                           ,     309
302 ,Drew  Morey                  ,Kinan Cycling Team                      ,     308
303 ,Louis  Barré                 ,Team Arkéa Samsic                       ,     306
304 ,Yannis  Voisard              ,Tudor Pro Cycling Team                  ,     303
305 ,Owain  Doull                 ,EF Education - EasyPost                 ,     300.7
306 ,Walter  Calzoni              ,Q36.5 Pro Cycling Team                  ,     298
307 ,Yevgeniy  Gidich             ,Astana Qazaqstan Team                   ,     297
308 ,Simone  Consonni             ,Cofidis                                 ,     297
309 ,Finn  Fisher-Black           ,UAE Team Emirates                       ,     296.6
310 ,Sylvain  Moniquet            ,Lotto Dstny                             ,     295.2
311 ,Peter  Sagan                 ,TotalEnergies                           ,     293
312 ,Quinten  Hermans             ,Alpecin - Deceuninck                    ,     292
313 ,Sam  Bennett                 ,BORA - hansgrohe                        ,     290
314 ,Brady  Gilmore               ,ARA | Skip Capital                      ,     289
315 ,Quinn  Simmons               ,Lidl - Trek                             ,     288
316 ,Anatoliy  Budyak             ,Terengganu Polygon Cycling Team         ,     287
317 ,Burak  Abay                  ,Konya Buyuksehir Belediye Spor          ,     286
318 ,Rune  Herregodts             ,Intermarché - Circus - Wanty            ,     284.9
319 ,Gorka  Izagirre              ,Movistar Team                           ,     282
320 ,Mathias  Bregnhøj            ,Leopard TOGT Pro Cycling                ,     282
321 ,Gleb  Brussenskiy            ,Astana Qazaqstan Team                   ,     281
322 ,Lorenzo  Milesi              ,Team dsm - firmenich                    ,     279.5
323 ,Jesús David  Peña            ,Team Jayco AlUla                        ,     277
324 ,Mathias  Vacek               ,Lidl - Trek                             ,     276
325 ,Gregor  Mühlberger           ,Movistar Team                           ,     276
326 ,Florian  Lipowitz            ,BORA - hansgrohe                        ,     275.4
327 ,Alessandro  Tonelli          ,Green Project - Bardiani CSF - Faizanè  ,     273
328 ,Giovanni  Aleotti            ,BORA - hansgrohe                        ,     272
329 ,Mirco  Maestri               ,EOLO-Kometa                             ,     272
330 ,Ivo  Oliveira                ,UAE Team Emirates                       ,     271.4
331 ,Polychronis  Tzortzakis      ,Roojai Online Insurance                 ,     271
332 ,Davide  Piganzoli            ,EOLO-Kometa                             ,     269
333 ,Yukiya  Arashiro             ,Bahrain - Victorious                    ,     268
334 ,Nicolas  Prodhomme           ,AG2R Citroën Team                       ,     267
335 ,Tobias  Foss                 ,Jumbo-Visma                             ,     264.6
336 ,Samuele  Battistella         ,Astana Qazaqstan Team                   ,     264
337 ,Hugo  Houle                  ,Israel - Premier Tech                   ,     263
338 ,Márton  Dina                 ,ATT Investments                         ,     263
339 ,Lilian  Calmejane            ,Intermarché - Circus - Wanty            ,     260
340 ,Jakub  Mareczko              ,Alpecin - Deceuninck                    ,     260
341 ,Mauri  Vansevenant           ,Soudal Quick-Step                       ,     257
342 ,William Junior  Lecerf       ,Soudal - Quick-Step Devo Team           ,     255.2
343 ,Kyung-Gu  Jang               ,Eumseong gu Office                      ,     255
344 ,Lukáš  Kubiš                 ,Dukla Banska Bystrica                   ,     255
345 ,Benjamín  Prades             ,JCL Team UKYO                           ,     254
346 ,Liam  Walsh                  ,Team BridgeLane                         ,     253
347 ,Tony  Gallopin               ,Lidl - Trek                             ,     251
348 ,Isaac del Toro               ,A.R. Monex Pro CyclingTeam              ,     250
