,rider,team,points
154,Henok  Mulubrhan ,Bardiani-CSF-Faizanè,466.5
155,Nils  Politt ,BORA - hansgrohe,466
156,Fernando  Gaviria ,UAE Team Emirates,466
157,Anatoliy  Budyak ,Terengganu Polygon Cycling Team,462
158,Florian  Sénéchal ,Quick-Step Alpha Vinyl Team,459
159,Jambaljamts  Sainbayar ,Terengganu Polygon Cycling Team,458.8
160,Hugo  Houle ,Israel - Premier Tech,458
161,Thibaut  Pinot ,Groupama - FDJ,458
162,Hugh  Carthy ,EF Education - EasyPost,457
163,Orluis  Aular ,Caja Rural - Seguros RGA,457
164,Ben  Turner ,INEOS Grenadiers,456
165,Andreas  Kron ,Lotto Soudal,456
166,Samuele  Battistella ,Astana Qazaqstan Team,453
167,Koen  Bouwman ,Jumbo-Visma,449
168,Corbin  Strong ,Israel - Premier Tech,446
169,Filippo  Zana ,Bardiani-CSF-Faizanè,445
170,Pascal  Ackermann ,UAE Team Emirates,443.5
171,Quentin  Pacher ,Groupama - FDJ,443
172,Mikkel Frølich  Honoré ,Quick-Step Alpha Vinyl Team,442.3
173,Patrick  Konrad ,BORA - hansgrohe,440
174,Jake  Stewart ,Groupama - FDJ,435
175,James  Fouché ,Bolton Equities Black Spoke Pro Cycling,435
176,Axel  Laurance ,B&B Hotels - KTM,431
177,Sébastien  Reichenbach ,Groupama - FDJ,430
178,Juan Pedro  López ,Trek - Segafredo,429
179,Jan  Polanc ,UAE Team Emirates,428.5
180,Magnus  Cort ,EF Education - EasyPost,427.3
181,Mathias  Vacek ,,425
182,Nicola  Conci ,Alpecin-Deceuninck Development Team,415
183,Carlos  Verona ,Movistar Team,413
184,Fred  Wright ,Bahrain - Victorious,410
185,Maxim Van Gils ,Lotto Soudal,402
186,Gonzalo  Serrano ,Movistar Team,399
187,Xandro  Meurisse ,Alpecin - Deceuninck,397
188,Lennard  Kämna ,BORA - hansgrohe,395
189,Georg  Zimmermann ,Intermarché - Wanty - Gobert Matériaux,392
190,Reinardt  Janse van Rensburg ,Lotto Soudal,391.8
191,Gianni  Marchand ,Tarteletto - Isorex,387.4
192,Aaron  Gate ,Bolton Equities Black Spoke Pro Cycling,386
193,Igor  Chzhan ,Almaty Cycling Team,385.5
194,Robert  Stannard ,Alpecin - Deceuninck,385
195,Stefan  Bissegger ,EF Education - EasyPost,384
196,Milan  Menten ,Bingoal Pauwels Sauces WB,383
197,Kenneth Van Rooy ,Sport Vlaanderen - Baloise,382
198,Andrea  Vendrame ,AG2R Citroën Team,382
199,Taco van der Hoorn ,Intermarché - Wanty - Gobert Matériaux,380
200,Filippo  Fiorelli ,Bardiani-CSF-Faizanè,376
201,Ben  Tulett ,INEOS Grenadiers,376
202,Felix  Großschartner ,BORA - hansgrohe,376
203,George  Bennett ,UAE Team Emirates,375.2
204,Tom  Devriendt ,Intermarché - Wanty - Gobert Matériaux,374
205,Mathieu  Burgaudeau ,TotalEnergies,367
206,Pierre  Barbier ,B&B Hotels - KTM,364
207,Gianni  Vermeersch ,Alpecin - Deceuninck,360
208,Kaden  Groves ,Team BikeExchange - Jayco,352.5
209,Clément  Venturini ,AG2R Citroën Team,352
210,Antonio  Pedrero ,Movistar Team,352
211,Jason  Tesson ,St Michel - Auber93,352
212,Steff  Cras ,Lotto Soudal,350
213,Giovanni  Aleotti ,BORA - hansgrohe,349
