Name,Team,Nationality,Length,Weight,Age,AVG,FLT,COB,HLL,MTN,SPR,ITT,GC,OR
Michael Gogl,Alpecin-Deceuninck,Austria,186,71,31,50,39,46,53,31,36,27,38,55
Quinten Hermans,Alpecin-Deceuninck,Belgium,174,62,29,81,67,72,86,44,67,28,44,87
Edward Planckaert,Alpecin-Deceuninck,Belgium,178,71,29,63,54,67,44,32,62,20,40,64
Silvan Dillier,Alpecin-Deceuninck,Switzerland,183,75,34,58,48,61,49,35,51,28,40,63
Robbe Ghys,Alpecin-Deceuninck,Belgium,182,72,28,53,44,42,36,23,61,20,35,52
Jasper Philipsen,Alpecin-Deceuninck,Belgium,176,75,26,96,96,94,86,32,99,36,55,97
Oscar Riesebeek,Alpecin-Deceuninck,Netherlands,191,78,32,54,47,60,46,24,37,30,36,52
Luca Vergallito,Alpecin-Deceuninck,Italy,190,67,27,55,31,20,59,45,31,20,47,46
Samuel Gaze,Alpecin-Deceuninck,New-Zealand,189,80,29,37,32,31,34,23,35,20,25,36
Kaden Groves,Alpecin-Deceuninck,Australia,176,76,26,85,83,61,73,40,92,23,41,79
Jimmy Janssens,Alpecin-Deceuninck,Belgium,183,74,35,47,37,20,51,29,37,30,39,43
Stan Van Tricht,Alpecin-Deceuninck,Belgium,174,64,25,72,63,73,72,23,58,24,29,85
Juri Hollmann,Alpecin-Deceuninck,Germany,184,70,25,47,38,43,48,41,43,33,37,53
Tobias Bayer,Alpecin-Deceuninck,Austria,187,71,25,55,46,34,58,30,53,33,39,61
Johan Price-Pejtersen,Alpecin-Deceuninck,Denmark,196,77,25,62,55,20,30,23,25,76,31,44
Timo Kielich,Alpecin-Deceuninck,Belgium,185,73,25,75,70,80,64,24,61,20,33,80
Fabio Van den Bossche,Alpecin-Deceuninck,Belgium,176,63,24,49,41,39,50,24,47,25,36,58
Gianni Vermeersch,Alpecin-Deceuninck,Belgium,173,68,32,86,88,93,78,32,64,24,40,90
Jensen Plowright,Alpecin-Deceuninck,Australia,177,78,24,66,58,28,43,22,82,20,29,62
Simon Dehairs,Alpecin-Deceuninck,Belgium,192,82,23,68,63,45,41,25,79,20,26,76
Henri Uhlig,Alpecin-Deceuninck,Germany,181,71,23,58,52,35,56,28,64,20,34,62
Lars Boven,Alpecin-Deceuninck,Netherlands,172,62,23,55,48,52,51,25,55,27,31,61
Ramses Debruyne,Alpecin-Deceuninck,Belgium,179,66,22,45,40,34,48,24,39,20,25,53
Gal Glivar,Alpecin-Deceuninck,Slovenia,171,62,22,51,45,26,44,27,41,43,36,43
Emiel Verstrynge,Alpecin-Deceuninck,Belgium,190,70,22,46,42,49,43,39,32,20,31,47
Xandro Meurisse,Alpecin-Deceuninck,Belgium,181,71,32,73,56,43,84,39,48,37,45,84
Tibor Del Grosso,Alpecin-Deceuninck,Netherlands,190,0,21,53,51,42,54,26,47,27,32,61
Mathieu van der Poel,Alpecin-Deceuninck,Netherlands,184,75,30,97,97,99,93,39,90,70,53,98
Jonas Rickaert,Alpecin-Deceuninck,Belgium,187,88,30,58,54,49,38,26,65,24,33,60
Martin Tjøtta,ARKEA-B&B HOTELS,Norway,0,0,24,35,26,20,36,32,26,20,29,37
Mathis Le Berre,ARKEA-B&B HOTELS,France,176,68,23,61,48,58,62,43,53,20,39,70
Miles Scotson,ARKEA-B&B HOTELS,Australia,191,76,31,50,43,47,39,23,53,28,33,54
Embret Svestad-Bårdseng,ARKEA-B&B HOTELS,Norway,185,0,22,45,31,20,46,42,30,23,39,41
Clément Venturini,ARKEA-B&B HOTELS,France,165,60,31,77,64,33,83,36,73,20,44,90
Raúl García,ARKEA-B&B HOTELS,Spain,175,67,23,69,55,20,61,41,43,71,56,58
Giosue Epis,ARKEA-B&B HOTELS,Italy,169,64,22,40,40,38,34,22,41,20,26,42
Ewen Costiou,ARKEA-B&B HOTELS,France,176,64,22,66,52,20,70,47,52,37,57,70
Louis Rouland,ARKEA-B&B HOTELS,France,184,55,22,37,30,20,39,34,27,20,30,39
Arnaud Démare,ARKEA-B&B HOTELS,France,181,76,33,81,83,49,62,27,91,30,33,90
Florian Sénéchal,ARKEA-B&B HOTELS,France,179,77,31,71,66,74,59,24,67,26,36,74
Simon Guglielmi,ARKEA-B&B HOTELS,France,180,66,27,64,43,20,68,59,52,20,42,65
Pierre Thierry,ARKEA-B&B HOTELS,France,185,0,21,42,42,35,41,35,41,36,29,50
Thibault Guernalec,ARKEA-B&B HOTELS,France,185,71,27,66,56,20,43,27,40,77,45,57
Léandre Lozouet,ARKEA-B&B HOTELS,France,184,0,20,39,35,33,35,24,39,20,25,47
Elie Gesbert,ARKEA-B&B HOTELS,France,181,63,29,58,42,33,62,48,38,20,44,63
Alessandro Verre,ARKEA-B&B HOTELS,Italy,170,59,23,64,47,20,70,41,39,47,44,69
Jenthe Biermans,ARKEA-B&B HOTELS,Belgium,184,78,29,80,73,79,77,29,78,20,32,90
Cristian Rodriguez,ARKEA-B&B HOTELS,Spain,178,59,29,85,44,31,78,86,43,37,84,59
Amaury Capiot,ARKEA-B&B HOTELS,Belgium,186,69,31,81,71,67,66,32,87,25,32,85
Michel Ries,ARKEA-B&B HOTELS,Luxembourg,184,67,26,54,40,20,55,55,32,39,50,56
Kévin Vauquelin,ARKEA-B&B HOTELS,France,176,69,23,87,73,36,90,59,59,88,71,87
Donavan Grondin,ARKEA-B&B HOTELS,France,184,77,24,59,48,44,43,25,66,20,34,60
Luca Mozzato,ARKEA-B&B HOTELS,Italy,178,67,26,89,90,91,78,26,90,20,36,92
Laurens Huys,ARKEA-B&B HOTELS,Belgium,162,61,26,54,39,40,57,46,36,22,46,57
Anthony Delaplace,ARKEA-B&B HOTELS,France,181,65,35,60,49,31,64,38,50,35,41,70
Victor Guernalec,ARKEA-B&B HOTELS,France,0,0,24,28,24,20,27,24,24,20,28,24
Alberto Bruttomesso,Bahrain Victorious,Italy,179,0,21,48,41,39,39,22,53,20,28,40
Daniel Skerl,Bahrain Victorious,Italy,177,78,21,38,37,25,29,20,44,20,22,39
Lenny Martinez,Bahrain Victorious,France,168,52,21,88,59,20,90,89,43,64,75,89
Matej Mohoric,Bahrain Victorious,Slovenia,186,72,30,89,88,90,89,62,83,55,74,91
Vlad Van Mechelen,Bahrain Victorious,Belgium,183,0,20,42,42,37,39,23,40,32,30,43
Phil Bauhaus,Bahrain Victorious,Germany,184,71,30,78,80,29,55,22,93,20,32,64
Santiago Buitrago,Bahrain Victorious,Colombia,174,59,25,90,59,30,89,90,60,68,89,80
Oliver Stockwell,Bahrain Victorious,Great-Britain,182,0,22,34,30,20,36,28,29,21,30,35
Roman Ermakov,Bahrain Victorious,Russia,0,20,39,33,26,42,27,30,20,29,44
Fran Miholjevic,Bahrain Victorious,Croatia,189,72,22,45,40,43,45,35,34,39,35,51
Afonso Eulalio,Bahrain Victorious,Portugal,174,62,23,44,29,20,45,45,29,20,36,41
Finlay Pickering,Bahrain Victorious,Great-Britain,174,55,22,41,29,20,34,44,25,32,38,33
Andrea Pasqualon,Bahrain Victorious,Italy,174,68,37,78,68,82,66,36,74,24,37,78
Torstein Træen,Bahrain Victorious,Norway,181,63,29,63,37,20,60,63,37,32,58,46
Mathijs Paasschens,Bahrain Victorious,Netherlands,188,75,28,56,44,46,59,30,48,20,38,65
Robert Stannard,Bahrain Victorious,Australia,179,74,26,55,42,47,57,36,51,24,46,53
Pello Bilbao,Bahrain Victorious,Spain,174,60,34,90,69,30,91,85,65,68,88,90
Sergio Tu,Bahrain Victorious,Taiwan,178,63,27,32,32,20,23,21,24,35,25,31
Nikias Arndt,Bahrain Victorious,Germany,187,775,33,73,63,55,57,32,80,48,42,66
Fred Wright,Bahrain Victorious,Great-Britain,184,75,25,85,81,90,70,42,76,67,51,85
Kamil Gradek,Bahrain Victorious,Poland,194,81,34,47,42,50,30,24,38,43,36,44
Damiano Caruso,Bahrain Victorious,Italy,179,67,37,84,53,26,69,88,60,62,82,44
Matevz Govekar,Bahrain Victorious,Slovenia,180,73,24,69,57,37,62,30,73,37,35,60
Antonio Tiberi,Bahrain Victorious,Italy,182,62,23,89,70,20,79,88,56,86,87,58
Edoardo Zambanini,Bahrain Victorious,Italy,181,62,23,81,52,20,88,67,59,40,65,85
Nicolò Buratti,Bahrain Victorious,Italy,176,0,23,48,42,33,48,28,51,21,32,51
Max van der Meulen,Bahrain Victorious,Netherlands,183,67,21,37,34,25,37,35,34,25,34,39
Rainer Kepplinger,Bahrain Victorious,Austria,179,70,27,63,43,20,46,46,34,58,48,36
Zak Erzen,Bahrain Victorious,Slovenia,0,0,19,34,32,30,32,20,34,20,21,40
Jack Haig,Bahrain Victorious,Australia,190,67,31,79,46,29,71,81,53,51,76,49
Hugo de la Calle,Burgos Burpellet BH,Spain,180,65,20,20,20,20,20,20,20,20,20,20
Josh Burnett,Burgos Burpellet BH,New-Zealand,187,73,24,36,31,24,34,35,29,20,35,33
Eric Fagundez,Burgos Burpellet BH,Uruguay,180,67,26,56,43,20,59,45,43,20,51,54
Merhawi Kudus,Burgos Burpellet BH,Eritrea,173,58,31,54,40,20,49,54,50,32,51,52
Daniel Cavia,Burgos Burpellet BH,Spain,169,63,22,20,20,20,20,20,20,20,20,20
David Delgado,Burgos Burpellet BH,Spain,174,53,24,36,23,20,27,41,23,20,26,31
Antonio Angulo,Burgos Burpellet BH,Spain,175,67,32,50,40,20,45,26,54,20,33,53
Jose Luis Faura Asensio,Burgos Burpellet BH,Spain,182,67,24,30,24,20,31,29,24,20,25,32
Carlos Garcia,Burgos Burpellet BH,Spain,171,58,25,36,28,20,37,36,29,20,29,42
Angel Fuentes,Burgos Burpellet BH,Spain,190,77,28,43,39,20,38,21,43,35,33,45
Clément Alleno,Burgos Burpellet BH,France,180,69,24,44,36,20,45,31,41,20,33,51
Jambaljamts Sainbayar,Burgos Burpellet BH,Mongolia,171,60,28,54,54,20,49,37,46,54,48,52
Sinuhé Fernandez,Burgos Burpellet BH,Spain,180,60,24,37,27,20,39,26,30,20,31,39
Jose Manuel Diaz,Burgos Burpellet BH,Spain,177,64,30,64,41,20,69,56,39,20,53,65
George Jackson,Burgos Burpellet BH,New Zealand,188,75,24,51,43,20,38,25,56,30,38,39
Rodrigo Álvarez,Burgos Burpellet BH,Spain,175,65,25,39,36,20,33,29,42,20,30,37
Ander Okamika,Burgos Burpellet BH,Spain,190,70,31,52,39,20,54,46,41,27,46,51
Vojtech Kminek,Burgos Burpellet BH,Czech Republic,187,75,24,28,25,20,30,20,23,20,20,30
Sergio Chumil,Burgos Burpellet BH,Guatemala,167,62,24,47,33,20,41,50,31,41,29,40
Mario Aparicio,Burgos Burpellet BH,Spain,185,69,24,47,28,20,38,46,33,20,47,35
David Martin,Burgos Burpellet BH,Spain,177,68,25,53,43,20,33,22,64,20,26,54
Georgios Boúglas,Burgos Burpellet BH,Greece,181,71,34,51,44,20,40,27,59,27,32,46
Tomoya Koyama,Burgos Burpellet BH,Japan,173,68,26,24,22,20,21,20,24,20,23,20
Samuel Fernández Garcia,Caja Rural-Seguros RGA,Spain,176,57,21,35,29,20,38,29,30,20,28,37
Jan Castellon,Caja Rural-Seguros RGA,Spain,170,55,21,21,20,20,20,20,20,20,22,20
Gorka Sorarrain,Caja Rural-Seguros RGA,Spain,185,76,28,47,39,20,49,26,46,20,37,53
Abel Balderstone,Caja Rural-Seguros RGA,Spain,179,61,24,42,29,21,32,46,27,32,38,37
Thomas Silva,Caja Rural-Seguros RGA,Uruguay,175,64,23,67,49,20,75,41,53,20,45,74
Julen Arriola-Bengoa,Caja Rural-Seguros RGA,Spain,174,52,23,40,31,20,44,27,32,20,27,44
Joseba Lopez,Caja Rural-Seguros RGA,Spain,181,66,24,47,35,20,50,27,42,20,29,55
Eduard Prades,Caja Rural-Seguros RGA,Spain,178,63,37,66,45,20,74,34,50,20,37,77
Alex Diaz,Caja Rural-Seguros RGA,Spain,167,62,23,24,22,20,23,20,24,20,23,24
Javier Ibanez,Caja Rural-Seguros RGA,Spain,188,67,23,25,23,20,24,22,25,20,24,20
Jaume Guardeño,Caja Rural-Seguros RGA,Spain,175,62,21,44,29,20,38,46,33,25,38,39
Sergi Darder,Caja Rural-Seguros RGA,Spain,173,67,21,42,36,20,29,21,50,20,26,37
Fernando Barceló,Caja Rural-Seguros RGA,Spain,173,62,29,68,48,20,75,42,56,20,44,73
Joan Bou,Caja Rural-Seguros RGA,Spain,182,62,28,57,36,20,57,53,40,20,51,49
Jakub Otruba,Caja Rural-Seguros RGA,Czech Republic,190,75,26,56,43,20,38,44,30,50,46,38
Tyler Stites,Caja Rural-Seguros RGA,United States,178,60,26,54,50,24,49,36,48,42,36,42
Joel Nicolau,Caja Rural-Seguros RGA,Spain,176,66,27,65,48,33,72,37,54,20,40,74
Iuri Leitao,Caja Rural-Seguros RGA,Portugal,175,65,26,58,49,20,34,21,64,43,35,28
Sebastian Berwick,Caja Rural-Seguros RGA,Australia,175,59,25,47,38,20,47,41,33,23,45,34
Daniel Babor,Caja Rural-Seguros RGA,Czech Republic,179,79,25,54,48,20,32,21,67,20,29,48
Abner González,Caja Rural-Seguros RGA,Puerto Rico,174,60,24,43,30,20,42,43,33,20,39,41
Alex Molenaar,Caja Rural-Seguros RGA,Netherlands,184,63,25,46,40,20,48,29,44,36,38,47
Calum Johnston,Caja Rural-Seguros RGA,Great Britain,173,55,26,40,32,25,42,29,37,20,28,46
Francisco Peñuela,Caja Rural-Seguros RGA,Venezuela,175,56,23,36,29,20,37,26,33,20,30,33
Clement Izquierdo,Cofidis,France,0,0,22,29,28,20,28,23,26,20,26,27
Ludovic Robeet,Cofidis,Belgium,194,75,30,50,43,49,40,23,51,23,30,58
Bryan Coquard,Cofidis,France,171,59,32,81,78,46,73,34,91,29,45,78
Aimé De Gendt,Cofidis,Belgium,182,75,30,68,58,72,54,26,56,29,42,75
Anthony Perez,Cofidis,France,190,70,33,64,53,20,69,36,51,46,43,76
Jan Maas,Cofidis,Netherlands,189,69,28,49,38,36,51,30,44,20,39,54
Damien Touzé,Cofidis,France,174,69,28,63,53,67,53,30,53,39,44,67
Alex Aranburu,Cofidis,Spain,178,63,29,86,75,68,90,57,81,40,58,92
Nolann Mahoudo,Cofidis,France,171,61,22,50,42,41,50,26,47,20,28,61
Piet Allegaert,Cofidis,Belgium,181,70,30,78,69,75,55,25,83,20,36,83
Ion Izagirre,Cofidis,Spain,173,60,35,85,67,23,91,67,56,51,71,90
Paul Ourselin,Cofidis,France,185,70,30,54,41,20,56,46,42,23,47,58
Oliver Knight,Cofidis,Great Britain,0,0,24,37,36,20,36,21,33,37,26,42
Stanislaw Aniolkowski,Cofidis,Poland,181,68,28,79,71,62,52,24,90,20,37,78
Eddy Finé,Cofidis,France,180,70,27,51,41,32,54,26,47,20,31,63
Jesus Herrada,Cofidis,Spain,183,70,34,72,50,20,81,56,46,39,53,74
Sam Maisonobe,Cofidis,France,0,0,21,27,25,20,29,20,24,20,23,25
Sylvain Moniquet,Cofidis,Belgium,175,61,27,71,47,20,77,62,39,41,59,71
Alexis Renard,Cofidis,France,186,74,25,76,66,71,51,25,82,31,36,81
Milan Fretin,Cofidis,Belgium,182,70,23,78,75,42,52,23,91,20,36,88
Nicolas Debeaumarché,Cofidis,France,189,75,26,42,35,29,39,23,43,20,33,48
Benjamin Thomas,Cofidis,France,179,68,29,70,58,28,66,31,68,61,44,62
Stefano Oldani,Cofidis,Italy,178,65,27,72,56,20,73,41,77,25,43,81
Hugo Toumire,Cofidis,France,180,69,23,44,34,20,46,36,36,20,35,50
Jonathan Lastra,Cofidis,Spain,172,64,31,63,42,20,68,39,48,23,48,71
Sergio Samitier,Cofidis,Spain,181,63,29,56,37,20,61,41,42,20,37,68
Emanuel Buchmann,Cofidis,Germany,180,59,32,73,40,20,71,73,43,25,73,58
Dylan Teuns,Cofidis,Belgium,181,64,32,84,66,81,88,68,54,41,59,89
Simon Carr,Cofidis,Great Britain,183,63,26,62,43,20,60,64,38,43,44,60
Valentin Ferron,Cofidis,France,174,67,26,62,50,20,68,34,48,29,39,75
Bruno Armirail,Decathlon AG2R La Mondiale Team,France,190,74,30,82,74,20,61,67,47,91,63,64
Andrea Vendrame,Decathlon AG2R La Mondiale Team,Italy,168,60,30,82,62,20,87,66,76,30,43,86
Oliver Naesen,Decathlon AG2R La Mondiale Team,Belgium,184,74,34,87,81,91,67,38,87,23,48,90
Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,France,184,64,28,84,57,48,87,82,56,46,73,81
Dries De Bondt,Decathlon AG2R La Mondiale Team,Belgium,185,73,33,77,70,83,60,25,65,20,35,84
Sam Bennett,Decathlon AG2R La Mondiale Team,Ireland,178,73,34,80,78,44,61,28,91,32,48,65
Benoît Cosnefroy,Decathlon AG2R La Mondiale Team,France,180,65,29,83,73,55,91,47,68,23,58,92
Stan Dewulf,Decathlon AG2R La Mondiale Team,Belgium,176,74,27,70,60,74,62,39,59,34,57,73
Dorian Godon,Decathlon AG2R La Mondiale Team,France,191,73,28,83,65,26,89,47,74,37,50,88
Victor Lafay,Decathlon AG2R La Mondiale Team,France,177,65,29,73,47,20,83,48,46,20,58,74
Nicolas Prodhomme,Decathlon AG2R La Mondiale Team,France,174,62,27,72,45,20,76,70,47,36,60,71
Callum Scotson,Decathlon AG2R La Mondiale Team,Australia,183,77,28,56,38,20,45,56,32,50,56,37
Stefan Bissegger,Decathlon AG2R La Mondiale Team,Switzerland,181,78,26,87,86,77,51,34,80,91,42,85
Sander De Pestel,Decathlon AG2R La Mondiale Team,Belgium,184,74,26,70,60,76,53,27,61,42,31,74
Felix Gall,Decathlon AG2R La Mondiale Team,Austria,180,66,26,89,51,26,84,91,52,47,88,71
Clément Berthet,Decathlon AG2R La Mondiale Team,France,184,68,27,81,52,20,85,81,49,27,68,81
Tord Gudmestad,Decathlon AG2R La Mondiale Team,Norway,187,0,23,69,58,43,45,24,79,20,24,77
Bastien Tronchon,Decathlon AG2R La Mondiale Team,France,185,72,22,67,43,43,77,38,47,22,42,73
Jordan Labrosse,Decathlon AG2R La Mondiale Team,France,178,65,22,50,44,39,50,22,50,20,28,61
Johannes Staune-Mittet,Decathlon AG2R La Mondiale Team,Norway,182,0,23,57,36,20,59,53,33,33,51,51
Rasmus Søjberg Pedersen,Decathlon AG2R La Mondiale Team,Denmark,182,73,22,51,50,33,39,27,56,40,31,53
Gianluca Pollefliet,Decathlon AG2R La Mondiale Team,Belgium,180,74,22,54,45,35,35,22,64,20,28,53
Pierre Gautherat,Decathlon AG2R La Mondiale Team,France,177,70,22,79,69,80,69,25,76,25,37,89
Noa Isidore,Decathlon AG2R La Mondiale Team,France,180,67,20,48,46,40,49,29,44,28,38,54
Geoffrey Bouchard,Decathlon AG2R La Mondiale Team,France,177,63,32,54,33,20,45,57,31,24,48,37
Léo Bisiaux,Decathlon AG2R La Mondiale Team,France,178,52,19,37,27,24,32,40,26,20,31,32
Oscar Chamberlain,Decathlon AG2R La Mondiale Team,Australia,194,74,20,37,38,27,31,20,34,38,24,40
Nans Peters,Decathlon AG2R La Mondiale Team,France,177,71,30,69,48,20,76,53,48,34,47,75
Paul Lapeira,Decathlon AG2R La Mondiale Team,France,176,64,24,80,62,40,88,43,73,27,39,90
Yuhi Todome,EF Education-EasyPost,Japan,176,0,22,43,39,31,44,27,40,36,25,50
Alex Baudin,EF Education-EasyPost,France,183,66,23,78,51,20,81,68,49,41,73,78
Madis Mihkels,EF Education-EasyPost,Estonia,184,75,21,84,75,82,63,24,89,20,33,87
Jack Rootkin-Gray,EF Education-EasyPost,Great Britain,178,67,22,43,38,30,45,23,39,23,30,49
Jardi Van Der Lee,EF Education-EasyPost,Netherlands,185,0,23,35,28,20,32,36,27,20,31,35
Max Walker,EF Education-EasyPost,Great Britain,0,0,23,50,45,27,40,25,36,48,39,47
Rui Costa,EF Education-EasyPost,Portugal,182,69,38,79,62,48,88,50,56,56,53,86
Darren Rafferty,EF Education-EasyPost,Ireland,176,65,21,63,53,26,60,53,37,61,46,65
Markel Beloki,EF Education-EasyPost,Spain,183,0,19,38,35,20,31,26,30,41,31,37
Richard Carapaz,EF Education-EasyPost,Ecuador,170,62,31,91,53,20,87,92,61,47,90,79
Kasper Asgreen,EF Education-EasyPost,Denmark,192,75,29,84,82,74,66,38,68,90,47,81
Esteban Chaves,EF Education-EasyPost,Colombia,164,55,35,71,45,20,72,73,49,25,63,64
Alexander Cepeda,EF Education-EasyPost,Ecuador,164,56,26,64,35,20,54,67,35,20,58,46
Vincenzo Albanese,EF Education-EasyPost,Italy,175,70,28,87,77,84,89,42,78,27,48,91
James Shaw,EF Education-EasyPost,Great Britain,179,63,28,56,39,29,59,54,38,36,46,58
Mikkel Honore,EF Education-EasyPost,Denmark,185,68,28,72,54,51,77,54,62,39,51,83
Neilson Powless,EF Education-EasyPost,United States,183,67,28,86,80,80,90,66,68,70,64,92
Harry Sweeny,EF Education-EasyPost,Australia,186,75,26,61,50,42,54,44,45,58,44,55
Lukas Nerurkar,EF Education-EasyPost,Great Britain,177,0,21,67,43,20,75,43,48,28,35,76
Georg Steinhauser,EF Education-EasyPost,Germany,189,65,23,72,47,20,69,79,40,43,44,71
Sean Quinn,EF Education-EasyPost,United States,187,67,24,54,40,20,54,48,43,43,48,50
Samuele Battistella,EF Education-EasyPost,Italy,180,67,26,67,51,29,73,41,59,33,48,67
Marijn van den Berg,EF Education-EasyPost,Netherlands,182,73,25,83,76,54,77,31,91,36,50,85
Owain Doull,EF Education-EasyPost,Great Britain,181,71,31,69,59,70,60,28,65,39,39,75
Alastair Mackellar,EF Education-EasyPost,Australia,184,69,23,39,35,20,40,33,29,35,28,43
Michael Valgren,EF Education-EasyPost,Denmark,179,71,32,72,61,73,68,45,67,29,38,75
Archie Ryan,EF Education-EasyPost,Ireland,172,56,23,72,48,20,82,52,40,28,44,77
Ben Healy,EF Education-EasyPost,Ireland,175,65,24,84,74,57,91,61,61,73,62,91
Hugh Carthy,EF Education-EasyPost,Great Britain,193,69,30,69,38,20,65,70,36,40,68,45
Pau Miquel Delgado,Equipo Kern Pharma,Spain,180,65,24,68,56,37,73,38,72,24,37,75
Diego Uriarte,Equipo Kern Pharma,Spain,180,67,23,30,27,20,28,25,31,20,28,33
Mikel Retegi,Equipo Kern Pharma,Spain,177,64,23,40,32,20,43,24,36,20,30,45
Unai Aznar,Equipo Kern Pharma,Spain,175,68,22,28,26,20,25,24,20,30,24,27
Jorge Gutiérrez,Equipo Kern Pharma,Spain,176,58,22,44,25,20,30,47,27,20,42,34
Mats Wenzel,Equipo Kern Pharma,Luxembourg,187,68,22,42,35,28,44,30,31,29,35,45
Pablo Carrascosa,Equipo Kern Pharma,Spain,178,58,22,27,21,20,22,29,22,20,25,20
Haimar Etxeberria,Equipo Kern Pharma,Spain,177,65,21,35,29,20,38,22,28,20,23,39
Hugo Aznar,Equipo Kern Pharma,Spain,168,59,21,33,29,20,36,24,25,28,24,32
Ibai Azanza,Equipo Kern Pharma,Spain,193,74,20,24,22,20,22,24,21,22,23,21
Nil Gimeno,Equipo Kern Pharma,Spain,174,60,20,24,23,20,25,24,21,20,22,20
Antonio Soto,Equipo Kern Pharma,Spain,175,66,30,59,50,37,46,26,67,23,32,60
Miguel Angel Fernandez,Equipo Kern Pharma,Spain,185,78,27,52,44,20,35,26,62,20,27,36
Iñigo Elosegui,Equipo Kern Pharma,Spain,188,75,26,40,35,32,41,27,36,23,35,42
Francisco Galván,Equipo Kern Pharma,Spain,176,69,27,60,51,38,52,26,65,20,34,73
Urko Berrade,Equipo Kern Pharma,Spain,184,72,27,66,48,20,73,53,41,43,49,52
José Félix Parra,Equipo Kern Pharma,Spain,171,55,28,66,31,20,45,71,34,20,63,45
Ivan Sosa,Equipo Kern Pharma,Colombia,168,52,27,68,35,20,56,72,34,20,59,53
Marc Brustenga,Equipo Kern Pharma,Spain,190,80,25,46,38,29,34,24,54,20,28,42
Unai Iribar,Equipo Kern Pharma,Spain,183,64,25,54,39,20,57,45,41,20,44,59
Ivan Cobo,Equipo Kern Pharma,Spain,186,64,25,44,31,20,47,34,36,20,37,41
Ibon Ruiz,Equipo Kern Pharma,Spain,178,65,25,48,36,20,51,41,39,20,42,52
Louis Sutton,Euskaltel-Euskadi,Great Britain,0,0,22,33,30,20,34,30,30,20,24,31
Paul Hennequin,Euskaltel-Euskadi,France,175,64,22,52,48,28,40,24,61,20,30,43
Xabier Berasategi,Euskaltel-Euskadi,Spain,0,0,24,58,46,35,62,34,54,20,34,70
Unai Zubeldia,Euskaltel-Euskadi,Spain,187,72,21,30,28,20,31,22,29,20,23,35
Xabier Isasa,Euskaltel-Euskadi,Spain,185,0,23,47,39,34,49,27,46,24,34,53
Iker Mintegi,Euskaltel-Euskadi,Spain,0,0,22,42,32,20,47,27,33,20,28,48
Iker Bonillo,Euskaltel-Euskadi,Spain,0,0,21,39,33,20,31,22,44,20,25,39
Victor De La Parte,Euskaltel-Euskadi,Spain,181,64,38,47,36,20,50,41,33,31,42,48
Nicolas Alustiza,Euskaltel-Euskadi,Spain,185,0,22,32,27,20,33,23,32,20,24,38
Andoni Lopez de Abetxuko,Euskaltel-Euskadi,Spain,185,74,25,50,44,29,41,26,57,20,26,50
Jordi Lopez,Euskaltel-Euskadi,Spain,170,59,26,47,34,20,49,36,37,20,43,51
Gotzon Martín,Euskaltel-Euskadi,Spain,0,0,28,60,50,39,62,36,61,20,42,66
Danny van der Tuuk,Euskaltel-Euskadi,Poland,180,64,25,38,34,27,38,27,31,35,27,45
Ander Ganzabal,Euskaltel-Euskadi,Spain,176,62,25,27,24,20,27,20,28,20,20,30
Jon Aberasturi,Euskaltel-Euskadi,Spain,173,69,35,67,57,31,45,24,82,20,32,65
David Dekker,Euskaltel-Euskadi,Netherlands,190,80,26,64,56,45,38,23,76,25,32,63
Txomin Juaristi,Euskaltel-Euskadi,Spain,182,675,29,52,44,20,48,45,38,48,44,48
Jon Agirre,Euskaltel-Euskadi,Spain,173,55,27,46,31,20,45,47,31,20,40,42
Jokin Murguialday,Euskaltel-Euskadi,Spain,173,57,24,42,29,25,36,42,31,20,39,37
Mikel Bizkarra,Euskaltel-Euskadi,Spain,165,53,35,62,30,20,44,66,29,25,61,43
Marton Dina,Euskaltel-Euskadi,Hungary,186,67,28,50,42,20,47,45,32,34,44,43
Rémy Rochas,Groupama-FDJ,France,164,51,28,69,46,20,77,50,48,28,58,65
Kevin Geniets,Groupama-FDJ,Luxembourg,193,73,28,69,55,53,74,56,50,36,49,75
David Gaudu,Groupama-FDJ,France,172,53,28,90,62,43,89,90,56,54,90,83
Valentin Madouas,Groupama-FDJ,France,179,71,28,89,84,90,92,72,71,38,71,94
Clément Davy,Groupama-FDJ,France,183,73,26,45,42,41,39,27,34,46,36,47
Johan Jacobs,Groupama-FDJ,Switzerland,192,78,27,61,50,66,49,25,50,31,34,67
Cyril Barthe,Groupama-FDJ,France,184,70,28,56,44,27,52,30,61,24,40,55
Clément Russo,Groupama-FDJ,France,187,73,30,71,59,52,50,32,83,35,38,66
Lars van den Berg,Groupama-FDJ,Netherlands,185,72,26,45,35,25,46,42,40,27,32,46
Sven Erik Bystrøm,Groupama-FDJ,Norway,188,73,33,58,46,51,60,32,50,36,45,65
Matthew Walls,Groupama-FDJ,Great Britain,177,72,26,47,38,28,36,22,55,20,27,40
Paul Penhoët,Groupama-FDJ,France,173,64,23,80,71,51,66,31,89,20,48,84
Olivier Le Gac,Groupama-FDJ,France,180,70,31,66,55,70,53,31,56,25,38,72
Guillaume Martin,Groupama-FDJ,France,173,55,31,89,67,29,90,87,70,40,88,90
Enzo Paleni,Groupama-FDJ,France,180,65,22,60,53,41,62,39,58,49,40,64
